20160;374654;kinesin family member 7;KIF7;3;1.0
15470;175;aspartylglucosaminidase;AGA;3;1.0
26792;10283;CWC27 spliceosome associated cyclophilin;CWC27;3;1.0
15570;285362;sulfatase modifying factor 1;SUMF1;3;1.0
16375;4126;mannosidase beta;MANBA;3;1.0
17741;283989;tRNA splicing endonuclease subunit 54;TSEN54;3;1.0
15714;7450;von Willebrand factor;VWF;3;1.0
16791;3569;interleukin 6;IL6;3;1.0
16256;149233;interleukin 23 receptor;IL23R;3;1.0
16556;64127;nucleotide binding oligomerization domain containing 2;NOD2;3;1.0
18486;4689;neutrophil cytosolic factor 4;NCF4;3;1.0
19246;55054;autophagy related 16 like 1;ATG16L1;3;1.0
19316;3663;interferon regulatory factor 5;IRF5;3;1.0
21163;345611;immunity related GTPase M;IRGM;3;1.0
21211;5771;protein tyrosine phosphatase non-receptor type 2;PTPN2;3;1.0
17331;57038;arginyl-tRNA synthetase 2, mitochondrial;RARS2;3;1.0
15956;427;N-acylsphingosine amidohydrolase 1;ASAH1;3;1.0
16082;2517;alpha-L-fucosidase 1;FUCA1;3;1.0
15472;178;amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase;AGL;3;1.0
15177;5837;glycogen phosphorylase, muscle associated;PYGM;3;1.0
15769;1280;collagen type II alpha 1 chain;COL2A1;3;1.0
15764;1302;collagen type XI alpha 2 chain;COL11A2;3;1.0
16649;5213;phosphofructokinase, muscle;PFKM;3;1.0
17742;22868;FAST kinase domains 2;FASTKD2;3;1.0
15176;5836;glycogen phosphorylase L;PYGL;3;1.0
19197;5277;phosphatidylinositol glycan anchor biosynthesis class A;PIGA;3;1.0
17623;51305;potassium two pore domain channel subfamily K member 9;KCNK9;3;1.0
16349;23592;LEM domain containing 3;LEMD3;3;1.0
15896;1834;dentin sialophosphoprotein;DSPP;3;1.0
18995;9321;thyroid hormone receptor interactor 11;TRIP11;3;1.0
16152;79158;N-acetylglucosamine-1-phosphate transferase subunits alpha and beta;GNPTAB;3;1.0
16539;4758;neuraminidase 1;NEU1;3;1.0
15254;6331;sodium voltage-gated channel alpha subunit 5;SCN5A;3;1.0
16188;10021;hyperpolarization activated cyclic nucleotide gated potassium channel 4;HCN4;3;1.0
16500;4624;myosin heavy chain 6;MYH6;3;1.0
16386;57192;mucolipin TRP cation channel 1;MCOLN1;3;1.0
16130;2706;gap junction protein beta 2;GJB2;3;1.0
21611;5243;ATP binding cassette subfamily B member 1;ABCB1;3;1.0
15566;412;steroid sulfatase;STS;3;1.0
15522;114798;SLIT and NTRK like family member 1;SLITRK1;3;1.0
16258;83943;inner mitochondrial membrane peptidase subunit 2;IMMP2L;3;1.0
23008;3067;histidine decarboxylase;HDC;3;1.0
16179;2990;glucuronidase beta;GUSB;3;1.0
16200;3106;major histocompatibility complex, class I, B;HLA-B;3;1.0
22150;6505;solute carrier family 1 member 1;SLC1A1;3;1.0
16083;2395;frataxin;FXN;3;1.0
15271;5265;serpin family A member 1;SERPINA1;3;1.0
30102;115019;solute carrier family 26 member 9;SLC26A9;3;1.0
24919;11254;solute carrier family 6 member 14;SLC6A14;3;1.0
23673;6550;solute carrier family 9 member A3;SLC9A3;3;1.0
30609;1084;CEA cell adhesion molecule 3;CEACAM3;3;1.0
30610;4680;CEA cell adhesion molecule 6;CEACAM6;3;1.0
